subject,block,A,C,mu_ta,mu_fl,mu_ss,mu_rs2,ter
68,4,0.117,0.092,0.112,0.188,0.307,1.295,0.284
69,1,0.224,0.138,0.099,0.001,0.42,1.278,0.178
69,2,0.273,0.071,0.056,0.052,0.36,1.34,0.235
69,3,0.276,0.099,0.06,0.001,0.435,1.305,0.203
69,4,0.265,0.073,0.082,0.053,0.344,1.314,0.276
70,1,0.096,0.102,0.105,0.089,0.283,1.327,0.359
70,2,0.266,0.064,0.079,0.066,0.317,1.311,0.296
70,3,0.224,0.094,0.104,0.069,0.334,1.296,0.265
70,4,0.28,0.062,0.103,0.074,0.319,1.301,0.255
71,1,0.309,0.127,0.085,0.002,0.323,1.439,0.202
71,2,0.347,0.103,0.012,0.015,0.385,1.22,0.242
71,3,0.237,0.109,0.111,0.061,0.335,1.272,0.233
71,4,0.216,0.118,0.116,0.086,0.325,1.324,0.208
72,1,0.194,0.164,0.019,0.003,0.403,1.466,0.303
72,2,0.2,0.093,0.087,0.06,0.35,1.246,0.357
72,3,0.225,0.089,0.09,0.075,0.261,1.4,0.317
72,4,0.202,0.09,0.102,0.057,0.31,1.31,0.314
73,1,0.197,0.091,0.02,0.004,0.284,1.444,0.348
73,2,0.269,0.087,0.093,0.067,0.333,1.29,0.241
73,3,0.131,0.106,0.041,0.03,0.391,1.426,0.394
73,4,0.142,0.072,0.14,0.001,0.26,1.404,0.352
74,1,0.062,0.124,0.052,0.001,0.338,1.409,0.358
74,2,0.12,0.095,0.005,0.063,0.332,1.458,0.242
74,3,0.083,0.116,0.051,0.031,0.347,1.368,0.217
74,4,0.085,0.101,0.104,0.05,0.331,1.4,0.238
75,1,0.149,0.294,0.095,0.016,0.43,1.214,0.145
75,2,0.141,0.265,0.055,0.043,0.434,1.194,0.121
75,3,0.144,0.222,0.091,0.056,0.348,1.3,0.198
75,4,0.117,0.179,0.064,0.068,0.38,1.395,0.241
